step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,1,9,0
4,2,9,0
5,2,8,0
6,2,7,0
7,2,7,1
8,2,7,2
9,2,6,2
10,2,6,1
11,2,5,1
12,2,4,1
13,3,4,1
14,3,3,1
15,3,2,1
16,3,2,2
17,3,2,3
18,3,2,4
19,3,3,4
20,3,2,4
21,2,2,4
22,2,2,5
23,2,2,6
24,2,2,7
25,2,2,8
26,2,2,9
27,2,3,9
28,2,4,9
29,2,5,9
30,2,6,9
31,2,7,9
32,2,8,9
33,2,9,9
34,2,9,8
35,2,9,7
36,2,9,6
37,2,9,5
38,2,9,4
39,2,9,5
40,2,8,5
41,2,8,6
42,2,7,6
43,2,7,7
44,2,6,7
45,2,6,8
46,2,5,8
47,2,5,9
48,3,5,9
49,3,5,10
50,3,4,10
51,3,3,10
52,3,3,9
53,3,3,8
54,3,2,8
55,3,1,8
56,4,1,8
