step,z,r,c
0,0,11,0
1,0,10,0
2,0,9,0
3,1,9,0
4,2,9,0
5,2,8,0
6,2,7,0
7,2,7,1
8,2,7,2
9,2,6,2
10,2,6,1
11,2,5,1
12,2,4,1
13,3,4,1
14,3,3,1
15,3,2,1
16,3,2,2
17,3,2,3
18,3,2,4
19,3,3,4
20,3,2,4
21,2,2,4
22,2,2,5
23,2,2,6
24,2,2,7
25,2,2,8
26,2,2,7
27,2,3,7
28,2,4,7
29,1,4,7
30,1,4,8
31,1,5,8
32,1,5,9
33,1,6,9
34,1,7,9
35,1,7,8
36,1,8,8
37,1,9,8
38,1,9,9
39,1,9,10
40,1,9,9
41,1,9,8
42,1,9,7
43,1,9,6
44,2,9,6
45,2,9,5
46,2,9,4
47,2,9,5
48,2,8,5
49,2,8,6
50,2,7,6
51,2,7,7
52,2,6,7
53,2,6,8
54,2,5,8
55,2,5,9
56,2,4,9
57,2,3,9
58,2,2,9
59,2,1,9
60,2,0,9
61,2,1,9
62,2,2,9
63,2,1,9
64,2,0,9
65,2,1,9
66,2,2,9
67,2,1,9
68,2,0,9
69,2,1,9
70,2,2,9
71,2,1,9
72,2,0,9
73,2,1,9
74,2,2,9
75,2,1,9
76,2,0,9
77,2,1,9
78,2,2,9
79,2,1,9
80,2,0,9
81,2,1,9
82,2,2,9
83,2,1,9
84,2,0,9
85,2,1,9
86,2,2,9
87,2,1,9
88,2,0,9
89,2,1,9
90,2,2,9
91,2,1,9
92,2,0,9
93,2,1,9
94,2,2,9
95,2,1,9
96,2,0,9
97,2,1,9
98,2,2,9
99,2,1,9
100,2,0,9
101,2,1,9
102,2,2,9
103,2,1,9
104,2,0,9
105,2,1,9
106,2,2,9
107,2,1,9
108,2,0,9
109,2,1,9
110,2,2,9
111,2,1,9
112,2,0,9
113,2,1,9
114,2,2,9
115,2,1,9
116,2,0,9
117,2,1,9
118,2,2,9
119,2,1,9
120,2,0,9
121,2,1,9
122,2,2,9
123,2,1,9
124,2,0,9
125,2,1,9
126,2,2,9
127,2,1,9
128,2,0,9
129,2,1,9
130,2,2,9
131,2,1,9
132,2,0,9
133,2,1,9
134,2,2,9
135,2,1,9
136,2,0,9
137,2,1,9
138,2,2,9
139,2,1,9
140,2,0,9
141,2,1,9
142,2,2,9
143,2,1,9
144,2,0,9
145,2,1,9
146,2,2,9
147,2,1,9
148,2,0,9
149,2,1,9
150,2,2,9
151,2,1,9
152,2,0,9
153,2,1,9
154,2,2,9
155,2,1,9
156,2,0,9
157,2,1,9
158,2,2,9
159,2,1,9
160,2,0,9
161,2,1,9
162,2,2,9
163,2,1,9
164,2,0,9
165,2,1,9
166,2,2,9
167,2,1,9
168,2,0,9
169,2,1,9
170,2,2,9
171,2,1,9
172,2,0,9
173,2,1,9
174,2,2,9
175,2,1,9
176,2,0,9
177,2,1,9
178,2,2,9
179,2,1,9
