map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
train_001,0,14,0,4,7,12,6,0,0,0,0.48,-3.0,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_001,1,13,0,0,10,22,6,1,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0,-1,-1,-1,-1,-1
train_001,2,12,0,0,13,32,7,2,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,1,0
train_001,3,11,0,0,16,42,7,3,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,0
train_001,4,10,0,0,18,48,7,4,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
train_001,5,9,0,0,19,50,8,5,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,1,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0
train_001,6,9,1,1,23,64,9,6,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,1,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1
train_001,7,8,1,0,27,74,11,7,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,0,0,0,0,-1,1,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0
train_001,8,8,2,1,32,92,13,8,0,4,0.48,0.48,0.48,-0.42000000000000004,10.0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_001,9,7,2,0,36,104,13,9,1,4,0.48,0.48,-0.42000000000000004,-3.0,10.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0
train_001,10,7,3,1,41,122,13,10,1,1,0.48,10.48,0.48,-0.42000000000000004,10.0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
train_002,0,14,0,4,7,16,2,0,0,0,0.48,-3.0,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_002,1,13,0,0,8,18,3,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,-1,-1,-1
train_002,2,12,0,0,11,24,5,2,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,1,1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1
train_002,3,12,1,1,14,32,5,3,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,-1,0,0,0,0,-1,1,1,0,0,-1,0,0,0,1,-1,0,0,0,0,-1,0,1,1,1
train_002,4,12,2,1,18,40,7,4,0,0,0.48,-3.0,0.48,-0.42000000000000004,-0.5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
train_002,5,11,2,0,22,52,6,5,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
train_002,6,10,2,0,25,60,7,6,1,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
train_002,7,10,3,1,27,64,7,7,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
train_002,8,9,3,0,30,74,7,8,1,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
train_002,9,9,4,1,34,82,9,9,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
train_002,10,9,5,1,38,92,10,10,1,1,-3.0,0.48,-3.0,-0.42000000000000004,-0.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
train_002,11,9,6,1,41,98,11,11,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
train_002,12,9,7,1,46,112,11,12,2,2,-3.0,-3.0,0.48,-0.42000000000000004,-0.5,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
train_002,13,10,7,2,48,116,11,13,1,1,-0.42000000000000004,0.48,0.48,0.48,-0.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
train_002,14,10,8,1,50,122,11,14,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
train_002,15,10,9,1,53,128,12,15,0,0,0.48,-3.0,0.48,-0.42000000000000004,-0.5,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
train_002,16,9,9,0,55,134,12,16,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
train_002,17,8,9,0,58,140,14,17,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
train_002,18,7,9,0,63,154,17,18,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
train_002,19,7,10,1,67,162,20,19,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
train_002,20,6,10,0,72,180,20,20,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
train_002,21,5,10,0,76,192,21,21,0,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
train_002,22,4,10,0,81,208,23,22,1,4,-3.0,0.48,-0.42000000000000004,0.48,10.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
train_002,23,4,11,1,85,220,24,23,0,4,0.48,0.48,0.48,-0.42000000000000004,10.0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
