map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
unseen_001,0,14,0,4,7,16,4,0,0,0,0.48,-3.0,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_001,1,13,0,0,9,22,3,1,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,-1,-1,-1
unseen_001,2,12,0,0,11,24,3,2,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,1,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1
unseen_001,3,12,1,1,13,30,3,3,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,0,1,0,1,-1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,1,1
unseen_001,4,11,1,0,16,36,5,4,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,1,0,0,0,-1,0,1,0,1,-1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0
unseen_001,5,11,2,1,20,46,6,5,0,0,0.48,-3.0,0.48,-0.42000000000000004,-0.5,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unseen_001,6,10,2,0,24,56,6,6,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
unseen_001,7,9,2,0,27,64,5,7,1,0,0.48,0.48,-0.42000000000000004,0.48,-0.5,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
unseen_001,8,9,3,1,30,68,8,8,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
unseen_001,9,9,4,1,33,76,9,9,1,4,0.48,0.48,-3.0,-0.42000000000000004,10.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1
