timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778049353.394936,-2.002158,-1.999563,2.000000,2.000000,0.255124,0.966908,5.658071,0.785960,0.000000,0.007331,1.000000,0.184026,1.000000,0.129251,2
1778049353.594903,-2.002008,-1.999690,2.000000,2.000000,0.361301,0.932449,5.658055,0.789679,0.000000,0.008620,1.000000,0.172204,1.000000,0.131596,2
1778049353.794890,-2.001845,-1.999801,2.000000,2.000000,0.462976,0.886371,5.658018,0.777850,0.021514,0.010439,1.000000,0.159839,1.000000,0.131907,0
1778049353.997827,-2.001671,-1.999891,2.000000,2.000000,0.558884,0.829246,5.657959,0.741928,0.078180,0.011953,1.000000,0.152280,1.000000,0.133574,0
1778049354.198109,-2.001518,-1.999953,2.000000,2.000000,0.633536,0.773713,5.657895,0.709423,0.128294,0.011904,0.570966,0.147877,1.000000,0.137470,0
1778049354.398090,-2.001330,-2.000006,2.000000,2.000000,0.715827,0.698278,5.657799,0.663416,0.197500,0.011152,0.403041,0.143286,1.000000,0.136032,0
1778049354.594994,-2.001136,-2.000037,2.000000,2.000000,0.789198,0.614138,5.657684,0.627100,0.250068,0.011794,0.320719,0.142731,1.000000,0.043830,0
1778049354.794844,-2.000939,-2.000047,2.000000,2.000000,0.852736,0.522342,5.657551,0.589562,0.303597,0.011917,0.268996,0.146961,1.000000,0.047827,0
1778049354.994806,-2.000743,-2.000034,2.000000,2.000000,0.905647,0.424032,5.657404,0.538932,0.375163,0.011432,0.234837,0.143985,1.000000,0.143985,0
1778049355.194839,-2.000549,-2.000000,2.000000,2.000000,0.947271,0.320434,5.657243,0.489426,0.444183,0.010426,0.209317,0.145343,1.000000,0.145343,0
1778049355.394899,-2.000360,-1.999946,2.000000,2.000000,0.977087,0.212840,5.657071,0.435449,0.518350,0.009245,0.190949,0.146210,1.000000,0.146210,0
1778049355.594808,-2.000179,-1.999870,2.000000,2.000000,0.994723,0.102592,5.656889,0.388359,0.582969,0.008353,0.179728,0.147804,1.000000,0.147804,0
1778049355.799739,-2.000035,-1.999792,2.000000,2.000000,0.999953,0.009680,5.656732,0.339610,0.647236,0.006230,0.170825,0.147765,1.000000,0.147765,0
