id,x,y,label
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
0,0,0,space
1,1,0,space
2,2,0,space
3,4,0,space
4,5,0,space
5,6,0,space
6,0,1,space
7,2,1,space
8,4,1,space
9,6,1,space
10,0,2,space
11,1,2,space
12,2,2,space
13,3,2,space
14,4,2,space
15,5,2,space
16,6,2,space
17,2,3,space
18,6,3,space
19,0,4,space
20,1,4,space
21,2,4,space
22,3,4,space
23,4,4,space
24,5,4,space
25,6,4,space
